INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,JUDGE_PROVIDER,JUDGE_MODEL,LLM_PRS,LLM_QS,LLM_SAFE,LLM_EMP,LLM_CON,LLM_PERS,LLM_SPEC,LLM_FLU,LLM_TOX,LLM_TOTAL,LLM_MAX_SCORE,LLM_PERCENTAGE,REWARD_PRS,REWARD_QS,REWARD_SAFE,REWARD_EMP,REWARD_CON,REWARD_PERS,REWARD_SPEC,REWARD_FLU,REWARD_TOX,REWARD_NON_CONFRONTATIONAL,COMBINED_REWARD_SCORE,REWARD_PERCENTAGE,FINAL_SCORE_PERCENTAGE,ERROR
10,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,WOMEN,V1,ollama,llama3.1:8b,0,1,0,0,0,0,0,2,1,4,18,22.22,0.65,0.422359220200335,0.03889318972401157,0.27913014125078917,0.7667660984780205,0.8707738194292983,0.8991807451445862,0.08639342510654063,0.9398661553859711,0.6590817421674728,0.550374,55.04,38.63,
11,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.4824933102068754,0.2973836826812814,0.6306870670523494,0.9051315660185718,0.9106519250837929,0.9085138172754834,0.4121080225756182,0.9992193874204531,0.9111031163483858,0.688465,68.85,84.42,
12,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1,ollama,llama3.1:8b,1,0,1,1,1,1,0,2,1,8,18,44.44,0.75,0.6873184044762958,0.3553235856659957,0.4494372606277466,0.9978258797160747,0.9961637737314285,0.9821113616333612,0.23172369059339287,0.9993723559309728,0.939236469566822,0.716586,71.66,58.05,
13,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",WOMEN,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.26141769969265405,0.27244262113275886,0.6666177627630532,0.9116658243098049,0.905116743857255,0.82450318598521,0.06836083896494653,0.9977551037445664,0.9424172416329384,0.617542,61.75,80.88,
14,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,JEWS,V1,ollama,llama3.1:8b,0,1,0,0,0,0,0,2,1,4,18,22.22,0.65,0.3403821286275876,0.004186273994330785,0.6802888363599777,0.17070668315900434,0.5860580979569017,0.798688391947909,0.0,0.8451331555843353,0.9058936648070812,0.452827,45.28,33.75,
15,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Where is your evidence?,JEWS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.3821218117043928,0.03222586517630239,0.42045169638004154,0.6302362088807361,0.8542286715033149,0.6983776932758812,0.16202583699375406,0.9987123168539256,0.7565344199538231,0.536487,53.65,76.83,
16,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Where are the facts?,JEWS,V1,ollama,llama3.1:8b,2,1,2,2,2,2,2,2,2,17,18,94.44,0.65,0.2978453521991376,0.03644869773016396,0.6255498934770003,0.4408308020995349,0.8155966006684408,0.5942689151203432,0.06732515940565974,0.9992169989272952,0.9152079802006483,0.503009,50.3,72.37,
17,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where are the facts?,JEWS,V1,ollama,llama3.1:8b,2,1,2,2,2,2,2,2,2,17,18,94.44,0.65,0.2978453521991376,0.03644869773016396,0.6255498934770003,0.4408308020995349,0.8155966006684408,0.5942689151203432,0.06732515940565974,0.9992169989272952,0.9152079802006483,0.503009,50.3,72.37,
18,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",What's your proof for claiming this?,JEWS,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,2,17,18,94.44,0.65,0.10267716807286519,0.014407465703778443,0.38082270696759224,0.3145199945779806,0.6781053726515904,0.4749730049079393,0.010352680150391178,0.9950812109746039,0.8306516315788031,0.402327,40.23,67.33,
19,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.0002160200882421992,0.11874949326931335,0.4907015427015722,0.023053005003105052,0.1990653460076854,0.2534959296908799,0.0012279159996809947,0.9993513600784354,0.982894423417747,0.303985,30.4,65.2,
20,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think that? Do you have any facts to back this up?,JEWS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.049011162746811325,0.008355995776503058,0.3845217314083129,0.5588215380499914,0.6477871187547543,0.7837415517039714,0.007321926038755731,0.9991478979354724,0.8406364023685455,0.454301,45.43,72.72,
21,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where is the proof of this? Looks like assumptions as opposed to facts...,JEWS,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,2,17,18,94.44,0.65,0.0026430835089446742,0.011662142728068987,0.5276044410420582,0.028867500636732005,0.2528200295448149,0.29353877482472374,0.0,0.9990707310498692,0.8724518306553364,0.307356,30.74,62.59,
22,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",We do have to choose. It's ok to accept them both.,other,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,2,17,18,94.44,0.65,0.621834381594023,0.6938460445908142,0.7263895780779421,0.9973199113789946,0.9721886296099193,0.967280256767215,0.6293952170389244,0.999450791219715,0.9692422244697809,0.806412,80.64,87.54,
23,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.","We can choose not to hate, and start to build bridges so we understand each other.",other,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.75,0.6680949614528903,0.7070906359495439,0.3269849345088005,0.9885146046269068,0.9465473188686022,0.9660238794050705,0.681644160529711,0.9991059173480608,0.6423167586326599,0.781556,78.16,89.08,
24,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.6633818524929377,0.17983002893247044,0.6482112965313718,0.9671846777021456,0.9901757412968404,0.9843142659163826,0.3751202649776793,0.9938009730540216,0.9406964890658855,0.716891,71.69,85.84,
25,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",WOMEN,V1,ollama,llama3.1:8b,0,1,1,0,0,0,0,2,0,4,18,22.22,0.65,0.5056779584254198,0.15364068208351153,0.6645522405160591,0.834215048407096,0.6233843397709582,0.9673348105878063,0.14694913427981568,0.7609755843877792,0.9359374735504389,0.589637,58.96,40.59,
26,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,other,V1,ollama,llama3.1:8b,2,2,2,1,1,1,1,2,0,12,18,66.67,0.65,0.7731326158578417,0.6677503237083564,0.23053699731826782,0.9626674781755582,0.9971518457345163,0.9598212314693962,0.4994115973473191,0.9993128420901485,0.552577517926693,0.748865,74.89,70.78,
27,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.4308629024433231,0.5003484826212391,0.5572440014220774,0.9092741171135909,0.8066483962526073,0.8967876363149506,0.40263243905674756,0.999373083235696,0.8390459679067135,0.683686,68.37,84.19,
28,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.9082169274267464,0.893102007478073,0.7861385142896324,0.9987877807989439,0.9979361439065946,0.9974438370001393,0.5557673714372744,0.9836531262844801,0.9812218560837209,0.86345,86.34,93.17,
29,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"this is correct, but their percentage of the population within Great Britain makes them a minority",MIGRANTS,V1,ollama,llama3.1:8b,0,1,1,0,0,0,0,2,0,4,18,22.22,0.65,0.589663881538906,0.16815082099368409,0.697762408060953,0.7098774487422834,0.8683244923350765,0.9236911592207939,0.4120350363395602,0.997408731142059,0.958629896864295,0.668546,66.85,44.53,
30,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","This is about teaching children about the world they live in, and helping them get on with others.",LGBT+,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.8000316256745471,0.9900901170036264,0.8058373383246362,0.9995063791387415,0.9974606942010718,0.9971329134949481,0.7313017012438332,0.9946159147657454,0.9685277948155999,0.885109,88.51,94.25,
31,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.",MIGRANTS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.8500000000000001,0.7201840881689161,0.5818742354774392,0.4302654839120805,0.9864293377702287,0.9771582217677758,0.9910710095229099,0.4947032066366288,0.9990141270682216,0.7375923246145248,0.781189,78.12,89.06,
32,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"These are numbers of residents in countries, not ethnic grouping.",MIGRANTS,V1,ollama,llama3.1:8b,2,2,2,1,2,2,2,2,2,17,18,94.44,0.65,0.4915951141070603,0.683035015288945,0.7188623964320868,0.7817879627653785,0.8433102563581499,0.8341086012051673,0.5422308983968166,0.999378964479547,0.9820742574520409,0.727145,72.71,83.57,
33,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,MIGRANTS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.18300487065480855,0.017287256595514333,0.6462123855017126,0.4896933379913175,0.7603515751837493,0.7517453128800918,0.07438253660823133,0.9989704001927748,0.9106801655143499,0.507961,50.8,75.4,
34,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",The womenfolk appear to have wisdom and not a little heart.,WOMEN,V1,ollama,llama3.1:8b,0,1,1,0,0,0,0,1,0,3,18,16.67,0.65,0.37971621007364276,0.17854855358982696,0.7171092114876956,0.38118856046572286,0.5692500771715707,0.6856374249202013,0.07770312697191872,0.9992027083644643,0.9712640773504972,0.515373,51.54,34.11,
35,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"The US is the second most polluting country in the world - as the world’s biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.",other,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.28119431975530196,0.0029225030765559507,0.0,0.4919537758641292,0.57735948130419,0.8196475996225181,0.030191310861579685,0.9411259926855564,0.2099839150905609,0.421599,42.16,71.08,
36,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",JEWS,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,2,17,18,94.44,0.65,0.07649846485606959,0.007025619264826531,0.6409625420346856,0.19270616997631426,0.5850999518720716,0.6473437021786757,0.0046975772148575715,0.9934578160755336,0.9237569365650415,0.421977,42.2,68.32,
37,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",WOMEN,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,2,17,18,94.44,0.65,0.895471713267366,0.44540095469075336,0.7494281043764204,0.9950706332207978,0.9912099079267591,0.9921295308632261,0.6227428394315933,0.9984171169344336,0.9935639088507742,0.815541,81.55,88.0,
38,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together.,WOMEN,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.05975962702174558,0.00523807848771237,0.6093544722534716,0.18632216152256362,0.2525948597618009,0.6407706846032296,0.004727715189115501,0.9975484476890415,0.8741777315735817,0.37848,37.85,68.92,
39,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,JEWS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.5686358676476276,0.015233795350962701,0.6941647604107857,0.9885949252534375,0.9898200915707951,0.9668884358439013,0.4328324118966746,0.8810053616762161,0.8877924010157585,0.687464,68.75,84.38,
40,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,JEWS,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,0,15,18,83.33,0.65,0.3239025739451594,0.004487412042689966,0.0,0.16697104859505116,0.7468157130948189,0.9862631531352479,0.0967661642440042,0.9320328682661057,0.14434076845645905,0.434138,43.41,63.37,
41,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",JEWS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,0,16,18,88.89,0.65,0.6944347303455896,0.7359798275612887,0.39694813219830394,0.9901459661768557,0.9826104611896234,0.9491818847340916,0.6928606703686613,0.941264346241951,0.7671194951981306,0.781492,78.15,83.52,
42,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",The internet has become a shouting platform for people's hateful views. Of course something needs to be done since people don't seem able to moderate their words themselves.,other,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,0,15,18,83.33,0.65,0.0021627099073556256,0.0006941352119549881,0.08221918786875904,0.0012104720467134538,0.36083606241038313,0.2744962032246037,0.0012148826202525685,0.9948832858353853,0.46607235074043274,0.26308,26.31,54.82,
43,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,"The holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. They tell an important story that we must learn from.",JEWS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,0,16,18,88.89,0.65,0.9817540820926217,0.9519883338768294,0.8481657328084111,0.998613975279113,0.9975413190098377,0.9996173490581269,0.8524864115694908,0.9972748295404017,0.9835558151826262,0.919716,91.97,90.43,
44,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","the difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.",POC,V1,ollama,llama3.1:8b,1,1,2,1,1,1,1,1,0,9,18,50.0,0.65,0.6530929376033178,0.9273677445681059,0.7135168481618166,0.929665019477897,0.8043372899032222,0.8428207875712277,0.7175647502033035,0.9992131892358884,0.9716890407726169,0.804175,80.42,65.21,
45,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Teaching children that there are different ways to be happy, and that their feelings are valid is something I totally agree with.",LGBT+,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,0,16,18,88.89,0.65,0.9928915755138285,0.9944345579664141,0.9761162525974214,0.9992289324847123,0.9989398890426664,0.9989626692098537,0.8774701350275373,0.999219699006062,0.9313021805137396,0.943029,94.3,91.59,
46,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotional? You must have never heard of the likes of Rosa Parks, Emmeline Pankhurst and Florence Nightingale, then.",WOMEN,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,0,15,18,83.33,0.65,0.05081955548611098,0.3393011088702319,0.6613552835769951,0.6782100338700029,0.6315046479814008,0.5355107682853388,0.03120870049255626,0.9993242195923813,0.9407346602529287,0.508582,50.86,67.09,
47,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotinal' are personality traits, may I sugesst you read up on the #HeforShe movement that works for equal rights for men and women, and aims to stop the stigma around men showing emotions.",WOMEN,V1,ollama,llama3.1:8b,1,2,2,2,2,2,2,2,0,15,18,83.33,0.65,0.6776622951040568,0.8474274580457348,0.5675038169138134,0.9962014637369309,0.9964969430057148,0.9825371269357099,0.4257433837158686,0.9983609298942611,0.9023384698666632,0.793548,79.35,81.34,
48,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,Since when was Great Britain an ethnic group? Or Pakistan for that matter. Or Nigeria...etc,MIGRANTS,V1,ollama,llama3.1:8b,1,2,2,1,2,2,2,2,2,16,18,88.89,0.65,0.26818369368483863,0.053255123226980845,0.6423568748869002,0.66649855618429,0.9264536636997249,0.9342003757888762,0.0,0.9993144603213295,0.9253953993320465,0.57114,57.11,73.0,
49,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Same sex relationship happen within many species of animals and we are no exception. Might as well inform people about things that happen in nature - that's the point of education, to learn about the world.",LGBT+,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.8632961978347151,0.7864939048429066,0.7290099153760821,0.9961412166138505,0.9940810913986912,0.9801498663558166,0.8207723334881425,0.9987889531766996,0.9814249770715833,0.868748,86.87,93.44,
50,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","Sadly people need censoring, to stop them spreading hate,.",other,V1,ollama,llama3.1:8b,0,1,0,0,0,0,0,1,0,2,18,11.11,0.65,0.08519051113850802,0.012405020556837553,0.9709653645986691,0.009685831351571679,0.37597689534775164,0.7363944327875293,0.0043332999279474226,0.9542743340134621,0.9927203751867637,0.422136,42.21,26.66,
51,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Respect for people who are different from us and not harming anyone with their private activities is a monumental achievement in any country with a history of oppression.,LGBT+,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.75,0.9821886746963714,0.995930830663979,0.0,0.9993712459416374,0.8495869249423815,0.9985517503047647,0.8858094563976691,0.9992058963980526,0.13448473811149597,0.828961,82.9,91.45,
52,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,Replaced by what exactly? I think our population will be fine.,WOMEN,V1,ollama,llama3.1:8b,1,0,2,0,0,0,0,1,1,5,18,27.78,0.65,0.30603053115045825,0.7701723296718107,0.7072498938068748,0.9605641685474908,0.8726010017229147,0.6343885919779229,0.1490320541039539,0.9992888367851265,0.964561840519309,0.672147,67.21,47.49,
